"","dist","Age","stock","RRpas","MGpas","MGps","MGpsa","ob.ps","RRps","m.ps","difM","dif","h","RRas","CMG","CMG2","CRR","year"
"1",321,"0.3","Alagnak",0,2.21945134509834e-308,0.000788253381935374,1.74949002881486e-311,0.0001999428593,3.296577224e-05,0.000993996363444533,0.000794053504144533,2.21945134509834e-308,2772643,0,4.85071128196333e-305,6.11680137997301e-305,0,2018
"2",321,"0.3","Egegik",0,2.22396117935746e-308,0.0182389038128095,4.05626140337231e-310,0.03341337021,0.03402008735,0.0229994624553779,0.0104139077546221,2.22396117935746e-308,2772643,0,1.12465647862304e-303,1.41820444478257e-303,0,2018
"3",321,"0.3","Igushik",0,2.22001495130929e-308,0.00151854840346528,3.37120015997991e-311,0,0,0,0,2.22001495130929e-308,2772643,0,9.34713452516718e-305,0,0,2018
"4",321,"0.3","Kuskokwim",0,7.40949147727828e-22,0.000631470073019541,4.67887212419458e-25,0,0,0,0,7.40949147727828e-22,2772643,0,1.29728420430432e-18,0,0,2018
"5",321,"0.3","Kvichak",0,2.21840471146594e-308,0.00254273954259271,5.64082538131833e-311,0.001532527244,0.00142003374,0.00320642310765372,0.00167389586365372,2.21840471146594e-308,2772643,0,1.56399950077346e-304,1.97222092771861e-304,0,2018
"6",321,"0.3","Naknek",0,4.66075423847664e-191,0.0236927670927282,1.10426164648673e-192,0.02484578143,0.02470387891,0.0298768452756743,0.00503106384567429,4.66075423847664e-191,2772643,0,3.06172332429991e-186,3.86086748242702e-186,0,2018
"7",321,"0.3","North Peninsula",0,7.44716468072069e-175,0.000477993471517557,3.55969609870063e-178,0,0,0,0,7.44716468072069e-175,2772643,0,9.8697664701896e-172,0,0,2018
"8",321,"0.3","Nushagak",0,4.20876438352294e-230,0.0487337753685807,2.0510897804589e-231,0,0,0,0,4.20876438352294e-230,2772643,0,5.6869397221609e-225,0,0,2018
"9",321,"0.3","Togiak",0,1.83764203016106e-35,0.000496312806556791,9.12045273435956e-39,0,0,0,0,1.83764203016106e-35,2772643,0,2.52877594307529e-32,0,0,2018
"10",321,"0.3","Ugashik",0,2.2250738585072e-308,0.747751688057309,1.66380273375095e-308,0.9400083783,0.9398230342,0.94292327279785,0.00291489449784965,2.2250738585072e-308,2772643,0,4.61313100311544e-302,5.81720998130258e-302,0,2018
"11",321,"0.3","Wood",0,2.7286201223188e-130,0.155127547989485,4.23284148970084e-131,0,0,0,0,2.7286201223188e-130,2772643,0,1.17361583265286e-124,0,0,2018
"12",321,"1.1","Alagnak",1.08392121800997e-05,0.00497031994200265,0.000788253381935374,3.91787150358442e-06,0.0001999428593,3.296577224e-05,0.000993996363444533,0.000794053504144533,0.00495948072982255,2772643,0.0009907289016,10.8628589993128,13.6981871430942,0.000990729114661829,2018
"13",321,"1.1","Egegik",0.000567721940184168,0.0021562937001463,0.0182389038128095,3.93284333891355e-05,0.03341337021,0.03402008735,0.0229994624553779,0.0104139077546221,0.00158857175996213,2772643,53.55067674,109.043705537353,137.505336792239,53.5506882575863,2018
"14",321,"1.1","Igushik",0,0.0395818624074926,0.00151854840346528,6.01069739650803e-05,0,0,0,0,0.0395818624074926,2772643,0,166.655180615462,0,0,2018
"15",321,"1.1","Kuskokwim",0,0.0669075579809269,0.000631470073019541,4.22501205237751e-05,0,0,0,0,0.0669075579809269,2772643,0,117.144500919401,0,0,2018
"16",321,"1.1","Kvichak",6.43252413394749e-06,0.0232726218919817,0.00254273954259271,5.91762159445506e-05,0.001532527244,0.00142003374,0.00320642310765372,0.00167389586365372,0.0232661893678477,2772643,0.02532642838,164.074520905147,206.89981273939,0.0253264338335335,2018
"17",321,"1.1","Naknek",8.23947540835828e-05,0.000414350373975732,0.0236927670927282,9.81710690539186e-06,0.02484578143,0.02470387891,0.0298768452756743,0.00503106384567429,0.000331955619892149,2772643,5.643630509,27.2193327414864,34.3238841474992,5.64363172401237,2018
"18",321,"1.1","North Peninsula",0,0.0833335621001525,0.000477993471517557,3.98328986421758e-05,0,0,0,0,0.0833335621001525,2772643,0,110.442407589938,0,0,2018
"19",321,"1.1","Nushagak",0,0.000677268495118664,0.0487337753685807,3.30058507053297e-05,0,0,0,0,0.000677268495118664,2772643,0,91.5134409171774,0,0,2018
"20",321,"1.1","Togiak",0,0.0409981735442951,0.000496312806556791,2.03479185754715e-05,0,0,0,0,0.0409981735442951,2772643,0,56.417514002851,0,0,2018
"21",321,"1.1","Ugashik",4.96434616737297e-05,0.000211060392539688,0.747751688057309,0.00015782076480359,0.9400083783,0.9398230342,0.94292327279785,0.00291489449784965,0.000161416930865958,2772643,129.3605947,437.580638787321,551.794097730865,129.360622505938,2018
"22",321,"1.1","Wood",0,0.000314423935127414,0.155127547989485,4.87758140855207e-05,0,0,0,0,0.000314423935127414,2772643,0,135.23791949352,0,0,2018
"23",321,"1.2","Alagnak",0.476956006593088,0.377175944620955,0.000788253381935374,0.000297310213932137,0.0001999428593,3.296577224e-05,0.000993996363444533,0.000794053504144533,0.0997800619721326,2772643,43.59487504,824.335083487443,1039.49579414991,43.5948844153234,2018
"24",321,"1.2","Egegik",0.303903752300154,0.254976088738957,0.0182389038128095,0.00465048435707622,0.03341337021,0.03402008735,0.0229994624553779,0.0104139077546221,0.0489276635611974,2772643,28665.88456,12894.1328992569,16259.646333725,28665.8907254085,2018
"25",321,"1.2","Igushik",0,0.385520746891689,0.00151854840346528,0.000585431914695117,0,0,0,0,0.385520746891689,2772643,0,1623.19370025601,0,0,2018
"26",321,"1.2","Kuskokwim",0,0.142348416802454,0.000631470073019541,8.98887651524616e-05,0,0,0,0,0.142348416802454,2772643,0,249.229455478617,0,0,2018
"27",321,"1.2","Kvichak",0.535711477500944,0.404163836950396,0.00254273954259271,0.00102768336989977,0.001532527244,0.00142003374,0.00320642310765372,0.00167389586365372,0.131547640550547,2772643,2109.227744,2849.399101769,3593.12425429304,2109.22819817948,2018
"28",321,"1.2","Naknek",0.403481624909634,0.214657607911091,0.0236927670927282,0.00508583270891966,0.02484578143,0.02470387891,0.0298768452756743,0.00503106384567429,0.188824016998542,2772643,27636.48285,14101.1984595571,17781.7695556156,27636.4887998347,2018
"29",321,"1.2","North Peninsula",0,0.128349308502022,0.000477993471517557,6.13501315377592e-05,0,0,0,0,0.128349308502022,2772643,0,170.102012757247,0,0,2018
"30",321,"1.2","Nushagak",0,0.593296430094683,0.0487337753685807,0.0289135749512151,0,0,0,0,0.593296430094683,2772643,0,80167.021193462,0,0,2018
"31",321,"1.2","Togiak",0,0.263474567270767,0.000496312806556791,0.000130765801938491,0,0,0,0,0.263474567270767,2772643,0,362.566885384142,0,0,2018
"32",321,"1.2","Ugashik",0.49610078287779,0.535505201945617,0.747751688057309,0.400424918718305,0.9400083783,0.9398230342,0.94292327279785,0.00291489449784965,0.0394044190678274,2772643,1292736.045,1110235.34790988,1400019.23706364,1292736.3228724,2018
"33",321,"1.2","Wood",0,0.725848461225242,0.155127547989485,0.112599092001813,0,0,0,0,0.725848461225242,2772643,0,312197.084245182,0,0,2018
"34",321,"1.3","Alagnak",0.512015606522973,0.533120877680217,0.000788253381935374,0.000420234334811785,0.0001999428593,3.296577224e-05,0.000993996363444533,0.000794053504144533,0.0211052711572436,2772643,46.79940304,1165.15978677555,1469.27957104745,46.7994131044752,2018
"35",321,"1.3","Egegik",0.389584304750196,0.432175632988657,0.0182389038128095,0.00788240980032019,0.03341337021,0.03402008735,0.0229994624553779,0.0104139077546221,0.0425913282384617,2772643,36747.74866,21855.1083559892,27559.5369793421,36747.7565636418,2018
"36",321,"1.3","Igushik",0,0.284848363143913,0.00151854840346528,0.000432556027081887,0,0,0,0,0.284848363143913,2772643,0,1199.3234405964,0,0,2018
"37",321,"1.3","Kuskokwim",0,0.147622329876307,0.000631470073019541,9.32190834263065e-05,0,0,0,0,0.147622329876307,2772643,0,258.463239128365,0,0,2018
"38",321,"1.3","Kvichak",0.441483159152363,0.295061212463519,0.00254273954259271,0.000750263812416339,0.001532527244,0.00142003374,0.00320642310765372,0.00167389586365372,0.146421946688845,2772643,1738.227697,2080.21370764948,2623.1728375389,1738.22807129213,2018
"39",321,"1.3","Naknek",0.506092420054291,0.691450539499084,0.0236927670927282,0.0163823765884931,0.02484578143,0.02470387891,0.0298768452756743,0.00503106384567429,0.185358119444793,2772643,34664.81154,45422.4817714492,57278.2594203291,34664.8190029575,2018
"40",321,"1.3","North Peninsula",0,0.111696840850284,0.000477993471517557,5.33903607155713e-05,0,0,0,0,0.111696840850284,2772643,0,148.032409905504,0,0,2018
"41",321,"1.3","Nushagak",0,0.350991119385212,0.0487337753685807,0.0171051223684856,0,0,0,0,0.350991119385212,2772643,0,47426.397799125,0,0,2018
"42",321,"1.3","Togiak",0,0.37033866155073,0.000496312806556791,0.000183803820490729,0,0,0,0,0.37033866155073,2772643,0,509.622376256875,0,0,2018
"43",321,"1.3","Ugashik",0.473930591064903,0.415237180764755,0.747751688057309,0.310494302861004,0.9400083783,0.9398230342,0.94292327279785,0.00291489449784965,0.0586934103001484,2772643,1234965.11,860889.855367442,1085591.77184943,1234965.37545459,2018
"44",321,"1.3","Wood",0,0.26286015674706,0.155127547989485,0.0407768515803031,0,0,0,0,0.26286015674706,2772643,0,113059.652096166,0,0,2018
"45",321,"1.4","Alagnak",0.00601613710625465,0.00883348656359253,0.000788253381935374,6.96302565803249e-06,0.0001999428593,3.296577224e-05,0.000993996363444533,0.000794053504144533,0.00281734945733787,2772643,0.5498887565,19.3059843495642,24.3450629911248,0.549888874756674,2018
"46",321,"1.4","Egegik",0.000731534438901505,0.0021230238487132,0.0182389038128095,3.87216277689807e-05,0.03341337021,0.03402008735,0.0229994624553779,0.0104139077546221,0.0013914894098117,2772643,69.00237861,107.36125018227,135.383741702467,69.0023934509114,2018
"47",321,"1.4","Igushik",0,0.0390719981135324,0.00151854840346528,5.93327203555031e-05,0,0,0,0,0.0390719981135324,2772643,0,164.508451764643,0,0,2018
"48",321,"1.4","Kuskokwim",0,0.113373324700066,0.000631470073019541,7.15918616268189e-05,0,0,0,0,0.113373324700066,2772643,0,198.498673996568,0,0,2018
"49",321,"1.4","Kvichak",8.46226040766892e-07,0.0371720813035987,0.00254273954259271,9.45189210111317e-05,0.001532527244,0.00142003374,0.00320642310765372,0.00167389586365372,0.0371712350775579,2772643,0.003331799892,262.067224709067,330.469712288746,0.00333180060943563,2018
"50",321,"1.4","Naknek",0.00364260644110646,0.0047210985125797,0.0236927670927282,0.000111855887480376,0.02484578143,0.02470387891,0.0298768452756743,0.00503106384567429,0.00107849207147324,2772643,249.500409,310.136443431253,391.085536715859,249.500462714729,2018
"51",321,"1.4","North Peninsula",0,0.0980453275919125,0.000477993471517557,4.68650265017344e-05,0,0,0,0,0.0980453275919125,2772643,0,129.939987674848,0,0,2018
"52",321,"1.4","Nushagak",0,0.0422998702783659,0.0487337753685807,0.00206143237626599,0,0,0,0,0.0422998702783659,2772643,0,5715.61604802725,0,0,2018
"53",321,"1.4","Togiak",0,0.0498772866232787,0.000496312806556791,2.47547361074369e-05,0,0,0,0,0.0498772866232787,2772643,0,68.6360457851323,0,0,2018
"54",321,"1.4","Ugashik",0.0017636208938093,0.000184899815966396,0.747751688057309,0.000138259149510358,0.9400083783,0.9398230342,0.94292327279785,0.00291489449784965,0.0015787210778429,2772643,4595.631327,383.343263075848,483.400158097379,4595.63231482664,2018
"55",321,"1.4","Wood",0,0.0024810431680103,0.155127547989485,0.000384878143109501,0,0,0,0,0.0024810431680103,2772643,0,1067.12968934556,0,0,2018
"56",321,"1.5","Alagnak",1.45890436937347e-05,0.00435610200443458,0.000788253381935374,3.43371213705102e-06,0.0001999428593,3.296577224e-05,0.000993996363444533,0.000794053504144533,0.00434151296074085,2772643,0.001333472119,9.52045792080955,12.0054043134917,0.00133347240577069,2018
"57",321,"1.5","Egegik",2.35196215588393e-08,0.000800858619388588,0.0182389038128095,1.46067833266879e-05,0.03341337021,0.03402008735,0.0229994624553779,0.0104139077546221,0.00080083509976703,2772643,0.002218500928,40.4993955432579,51.0701924206911,0.00221850140515132,2018
"58",321,"1.5","Igushik",0,0.0438445715308189,0.00151854840346528,6.65801040987443e-05,0,0,0,0,0.0438445715308189,2772643,0,184.602859568655,0,0,2018
"59",321,"1.5","Kuskokwim",0,0.114542648375501,0.000631470073019541,7.2330254533529e-05,0,0,0,0,0.114542648375501,2772643,0,200.545973920607,0,0,2018
"60",321,"1.5","Kvichak",1.2656833335496e-06,0.0482111138078044,0.00254273954259271,0.000122588305471542,0.001532527244,0.00142003374,0.00320642310765372,0.00167389586365372,0.0482098481244709,2772643,0.00498330634,339.893607047532,428.609654085812,0.0049833074130541,2018
"61",321,"1.5","Naknek",6.35232698393425e-06,0.000908240821923145,0.0236927670927282,2.15187382579331e-05,0.02484578143,0.02470387891,0.0298768452756743,0.00503106384567429,0.000901888494939211,2772643,0.4351027777,59.6637789996905,75.2366950959849,0.435102871372904,2018
"62",321,"1.5","North Peninsula",0,0.131711075378292,0.000477993471517557,6.29570341573806e-05,0,0,0,0,0.131711075378292,2772643,0,174.557380057222,0,0,2018
"63",321,"1.5","Nushagak",0,0.000740205259636949,0.0487337753685807,3.6072996849789e-05,0,0,0,0,0.000740205259636949,2772643,0,100.01754220459,0,0,2018
