"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"Brood Year","0.1","0.2","0.3","0.4","0.5","1.1","1.2","1.3","1.4","1.5","2.1","2.2","2.3","2.4","3.1","3.2","3.3","3.4","Escapement","Recruits","R/S"
"1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA
"1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"1.83177746786402e-09","0",NA,NA,NA
"1957",NA,NA,NA,NA,"0",NA,NA,NA,"1422.20438733519","0",NA,NA,"204956.290189793","0",NA,"1.22117252832512e-09","0.000136493986418092","0",NA,NA,NA
"1958",NA,NA,NA,"0","0",NA,NA,"33047.0883318041","6062.54733363366","0",NA,"140852.28020474","59207.8471418882","0","0","0.000114528369875065","6.4777624210889e-09","0",NA,NA,NA
"1959",NA,NA,"0","0","0",NA,"238017.986214273","0.0364971643508618","6.47778956338935e-09","0","956.723000161556","208816.063109277","5455.29485561763","4.51124242426297e-09","0","2237.91343952445","7.23873915234593e-09","0",NA,NA,NA
"1960",NA,"0","0","0","0","0","1018872.92878892","456518.087909355","3134.48762428186","0","890544.13082045","47782519.6036745","6295084.20827775","0","0","11649.4798038268","4066.83353555417","0",NA,NA,NA
"1961","0","1604.3666295654","6.4777624210889e-09","0","0","0","415543.168134887","202009.62125937","8.45812670650877e-09","0","1.61953405739028e-08","2312095.28956472","648482.426167533","4.67715715062062e-09","0","5323.30591451642","2315.55160191146","0",NA,NA,NA
"1962","0","0","2.71452718270669e-09","0","0","6.47813623185335e-09","108040.389085985","133362.162939462","5.10235325546872e-09","0","1974.14240395276","4726862.82551258","535963.044984989","0","0","8981.52070069164","3.3702389903854e-09","0",NA,NA,NA
"1963","0","0","607.247327641586","0","0","0","31276.1032147401","80188.9033909968","1.0383340941618e-08","0","112.715166937582","927446.331187954","337385.784147831","0","0","1.24361299288752e-08","13916.9917816133","0","338760","1390934.07621774","4.10595724470934"
"1964","0","0","4.64449065663636e-09","0","0","3248.69069142011","2293165.4682906","288861.271883435","3945.81992006714","0","112110.493562156","2618299.19498357","446590.120463644","0","0","6612.94162389974","1071.70049621702","0","957120","5773905.70191501","6.03258285472565"
"1965","0","0","0","0","0","24032.4442185113","10339311.4859342","300122.595419812","2.07801995983382e-08","0","486435.562333811","33565684.4628178","1163690.54831748","3.88780115435171e-09","0","1296.43721618901","6.7995770830006e-09","0","24325926","45880573.5362579","1.88607716459624"
"1966","0","4770.79233459703","6.81325688205099e-09","4.15603992083891e-09","0","3434.37689057368","524900.269366452","889120.088285707","3.88780115435171e-09","0","16359.8187619429","4585504.45853506","520598.87839128","1148.65820435292","0","3.23683656991653e-09","2.41187825260273e-09","0","3755185","6545837.34076998","1.74314643373628"
"1967","0","0","14799.0508544765","973.910991205598","0","0","344075.000558126","323923.874542622","66.3330158849469","0","2307.23994278111","997298.917220272","112569.818733272","0","0","2.41170170854958e-09","0","0","3216208","1796014.14585864","0.558425992926652"
