"","Kvichak","Alagnak","Naknek","Egegik","Ugashik"
"Naknek-Kvichak",1.45467938332316,1.44072499586842,1.87897125184035,0.16053612123814,0.0644051546691754
"Egegik",0.217608352103825,0.16256054279393,0.248508574747035,3.95347284478948,0.417114148958947
"Ugashik",0.0612671102631211,0.0427386557603281,0.0360848474539298,0.249277368914386,4.61047221919298
