"","list.dist","list.stock","list.mean","list.sd","list.cv","X2.5.","X25.","X50.","X75.","X97.5."
"Kvichak","Naknek-Kvichak","Kvichak","1.43281502004733","0.584643556031946","0.408038405413026","0.1849088760055","1.1595503345","1.497320232","1.702397385","2.375118867225"
"Alagnak","Naknek-Kvichak","Alagnak","1.38957174655","0.52216018108819","0.375770579953571","0.2076535558325","1.24116121625","1.3931550865","1.72409756175","2.188025773775"
"Naknek","Naknek-Kvichak","Naknek","1.92846278756333","0.71986697228029","0.373285384049262","0.7822912798625","1.60411435","1.90156386","2.145629738","3.914083536575"
"Egegik","Naknek-Kvichak","Egegik","0.177720583452467","0.199959333213652","1.12513322502755","0.00952933770235","0.0557950159275","0.10587541388","0.219005378025","0.800307070915"
"Ugashik","Naknek-Kvichak","Ugashik","0.0701257464329333","0.130353641724963","1.85885567506408","0.0018123270563","0.004838498394","0.0145062698","0.047211701975","0.44243348168"
"Kvichak.1","Egegik","Kvichak","0.243213074754214","0.189284200141509","0.778264903450589","0.0067825098552","0.1068033794625","0.1898253391","0.35357487065","0.687793295095"
"Alagnak.1","Egegik","Alagnak","0.192635830892286","0.308025476244889","1.59900406283774","0.00517929604665","0.06258636749","0.1206560113","0.188589522125","0.890276600414999"
"Naknek.1","Egegik","Naknek","0.258338494213607","0.207788439091386","0.804326276360412","0.013904945461575","0.073349177265","0.23690221015","0.340124325675","0.748754107485"
"Egegik.1","Egegik","Egegik","3.85987576403571","0.550086360862886","0.142514006794804","2.66509691965","3.686444822","3.9204815865","4.20078202425","4.72106219135"
"Ugashik.1","Egegik","Ugashik","0.444437084359286","0.342654116706096","0.770984530240263","0.04060453806025","0.22687636125","0.38779272965","0.549372395375","1.31106172395"
"Kvichak.2","Ugashik","Kvichak","0.0877863624919958","0.121717845516436","1.38652339681501","0.0022148521718575","0.0102412915325","0.033010359365","0.08125003309","0.37935268156"
"Alagnak.2","Ugashik","Alagnak","0.0425596849541125","0.0874860570560026","2.05560866228989","0.0005179792944775","0.005916529291","0.01397401619","0.04055231093","0.25584843279"
"Naknek.2","Ugashik","Naknek","0.048349909435875","0.0593548544331372","1.22761045730308","0.00256381611205","0.00988319012275","0.020889417415","0.0710896059925","0.18486561132"
"Egegik.2","Ugashik","Egegik","0.280356111887917","0.207380936332223","0.739705422991211","0.020787324356","0.111725148525","0.224926313","0.388210592675","0.692564800755"
"Ugashik.2","Ugashik","Ugashik","4.54057058725","0.393537943815286","0.0866714736073803","3.733445593575","4.358178149","4.689251142","4.809146635","4.9416160715"
