"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
"Brood Year","0.1","0.2","0.3","0.4","0.5","1.1","1.2","1.3","1.4","1.5","2.1","2.2","2.3","2.4","3.1","3.2","3.3","3.4","Escapement","Recruits","R/S"
"1955",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA
"1956",NA,NA,NA,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,"0",NA,NA,"15612.098071971","0",NA,NA,NA
"1957",NA,NA,NA,NA,"0",NA,NA,NA,"0","0",NA,NA,"706515.782617949","0",NA,"89605.8656558314","77749.253513625","0",NA,NA,NA
"1958",NA,NA,NA,"0","0",NA,NA,"62982.4174894183","88.3046712795609","0",NA,"1064195.56658017","290239.284113091","0","0","28636.9320919308","1945.99468763143","0",NA,NA,NA
"1959",NA,NA,"0","0","0",NA,"50461.3757551481","155084.844135","782.408292686259","0","2486.66695484511","1246563.36415206","635809.187730824","129.529710539125","0","10515.0249304562","20303.7444967201","0",NA,NA,NA
"1960",NA,"0","0","0","0","0","213842.155925381","340500.308659228","1.82159936939627e-09","0","397.259212380807","4134127.5327971","2347788.88831239","0","0","43856.6290291623","38323.9503664816","0",NA,NA,NA
"1961","0","2.77221554954786e-05","6.45671792388145e-09","0","0","0","47269.2127993653","104163.889264195","1.5979560181261e-09","0","6.3796535382306e-09","383656.348945277","916276.145930265","8.06704364331525e-10","0","27631.832601467","8495.78532913576","0",NA,NA,NA
"1962","0","0","1.82335408274837e-09","0","0","6.3796535382306e-09","3547.20084853706","19755.1117753925","1.21005654602462e-09","0","404.820397896867","716891.189438435","309636.987032047","0","0","27596.2143070436","15424.9166957891","0",NA,NA,NA
"1963","0","0","1024.70891009579","0","0","0","2667.33665751979","85596.9672014015","2.00929890151255e-09","0","2263.72482183759","513647.200688717","298366.852208758","0","0","82830.8966920951","7474.64784121719","0","997602","993872.335021644","0.996261369786392"
"1964","0","0","1.61597304232158e-09","0","0","228.794500922907","61057.6685245574","36450.1269067563","0","0","5946.09094094016","1534886.7928236","222304.18945327","0","0","72732.3547754","4276.18939741307","0","849576","1937882.20732286","2.28099923646955"
"1965","0","0","0","0","0","8.04382106022804e-10","24283.8692846673","10867.3518527134","1593.69179001061","0","24472.0456513048","1485853.91560223","811265.610024783","1013.29435110355","0","6338.10835351693","22797.360151992","0","1444608","2388485.24706232","1.65337949607251"
"1966","0","2.06159566720295e-09","177.389553657117","1.65861391857113e-09","0","0","145853.767287498","550527.837809223","1040.35872716327","0","105.296467375146","563055.124601477","781194.330667739","0","0","9642.39163612458","6674.50025970057","0","804246","2058270.99700996","2.55925549770836"
"1967","0","0","1900.88110822245","1.93684322424365e-09","0","0","56673.2733820222","188696.431887962","3.44374110697667e-09","0","469.584662191999","748745.138068215","630902.243306623","1832.661162646","0","668.725277305092","1542.1728194185","0","636864","1631431.11167461","2.56166326197526"
