 
Kvichak Set,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,   0.00000, 48290.021, 267480.96,1034.98303,0.000000000000000,   0.00000, 27080.1664, 19603.306,440.16520867840,0.000000000000000,0.00000000000,0.000000000000000,NA, 363929.60
ARSHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,      0.00
NRSHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,      0.00
Naknek Set,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,   0.00000, 73274.686, 645949.52,1704.50174,0.000000000000000, 426.27339, 26610.7747, 55073.653,  0.00000000000,0.000000000000000,0.00000000000,0.000000000000000,NA, 803039.41
Offshore Catch,0.000000006205921,0.000000006203224,0.000000006202493,0.000000006202411,0.000000006205802,  48.78173,  5256.895,  21508.73,  60.16954,0.000000006205802,  11.17510,   972.3081,  2049.086,  2.72960343505,0.000000006205921,0.00000356366,0.000000006202493,0.000000006202411,  29909.87
Total,0.000001006949152,0.000001006511460,0.000001006392859,0.000001006379563,0.000001006929706,7915.13755,852963.693,3489924.53,9762.87943,0.000001006929706,1813.22869,157763.0126,332476.852,442.89504957056,0.000001006949152,0.00057822592,0.000001006392859,0.000001006379563,4853062.23
Inshore Total,0.000001000743231,0.000001000308236,0.000001000190366,0.000001000177152,0.000001000723904,7866.35582,847706.798,3468415.80,9702.70989,0.000001000723904,1802.05359,156790.7045,330427.766,440.16544613551,0.000001000743231,0.00057466226,0.000001000190366,0.000001000177152,4823152.35
 
Egegik,0.1,0.2,0.3,0.4,0.5,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,Total
Catch,0.000000042576476,0.000000779071248,0.000000964149393,0.000000984654691,0.000000077188673, 3850.7776,536327.420,3017890.47,  0.000486253480,0.000000077188673,  5621.86163,3214538.2315,633697.185, 0.000549144113,0.000000042576476,2334.83491,0.000000964149393,0.000000984654691,7414260.78
Escapement,0.000000936408569,0.000000216079479,0.000000035063704,0.000000015008488,0.000000902556092,84692.3346,148753.211, 109753.14,  0.000007411664,0.000000902556092,123644.79045, 891568.9657, 23045.983, 0.000008370267,0.000000936408569, 647.57866,0.000000035063704,0.000000015008488,1382106.00
Kvichak Set,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,    0.0000,  3465.293,  19194.44, 74.270415996000,0.000000000000000,     0.00000,   1943.2736,  1406.734,31.586269772400,0.000000000000000,   0.00000,0.000000000000000,NA,  26115.60
ARSHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,      0.00
NRSHA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,      0.00
Naknek Set,NA,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,    0.0000,  2319.398,  20446.54, 53.953386742899,0.000000000000000,    13.49303,    842.3232,  1743.272, 0.000000000000,0.000000000000000,   0.00000,0.000000000000000,NA,  25418.98
Offshore Catch,0.000000007991886,0.000000008123854,0.000000008157017,0.000000008160691,0.000000007998088,  722.8165,  5639.838,  25855.94,  1.046751449541,0.000000007998088,  1055.37081,  33542.7030,  5386.999, 0.257857193809,0.000000007991886,  24.34676,0.000000008157017,0.000000008160691,  72229.32
Total,0.000000986976931,0.000001003274581,0.000001007370115,0.000001007823869,0.000000987742853,89265.9286,696505.160,3193140.53,129.271047853583,0.000000987742853,130335.51591,4142435.4970,665280.173,31.844684480589,0.000000986976931,3006.76033,0.000001007370115,0.000001007823869,8920130.68
Inshore Total,0.000000978985045,0.000000995150727,0.000000999213098,0.000000999663178,0.000000979744765,88543.1122,690865.322,3167284.59,128.224296404042,0.000000979744765,129280.14510,4108892.7940,659893.174,31.586827286780,0.000000978985045,2982.41357,0.000000999213098,0.000000999663178,8847901.36
 
Ugashik,0.1,0.2,0.3,0.4,0.5,1.1,1.2,1.3,1.4,1.5,2.1,2.2,2.3,2.4,3.1,3.2,3.3,3.4,Total
