"","0.1","0.2","0.3","0.4","0.5","1.1","1.2","1.3","1.4","1.5","2.1","2.2","2.3","2.4","3.1","3.2","3.3","3.4"
"Catch",0,0,0,0,0,73.215027099367,2243694.0827076,1943249.9335103,791.0627860252,0,0.0041932558700926,102945.657947,102499.7221272,0,0,0,1.6463653388673,0
"Escapement",5e-101,5e-101,5e-101,5e-101,5e-101,1026.145336,2080596.767,661463.2817,33.76088131,5e-101,0.05877058471,95462.39156,34889.90346,5e-101,5e-101,5e-101,0.560406668,5e-101
"Reallocated Esc Obs Error",0,0,0,0,0,13.5691480381698,27512.5993923054,8746.80503875685,0.446434223851121,0,0.000777147969798009,1262.33904498591,461.363754866421,0,0,0,0.00741049125686527,0
"Kvichak Set",NA,0,0,0,0,0,108518.187946711,63342.165100501,238.9766395324,0,0,4780.423165609,1195.0612726542,0,0,0,0,NA
"ARSHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NRSHA",NA,0,0,0,0,0,35724.0782104747,41813.9090538012,0,0,0,3653.51568619323,2030.19327953085,0,0,0,0,NA
"Naknek Set",NA,0,0,0,0,0,685821.079473588,419673.955803417,2588.628696516,0,0,28742.744474415,12528.181244817,0,0,0,0,NA
"Offshore Catch",5.05765210141663e-103,5.05765210141663e-103,5.05765210141663e-103,5.05765210141663e-103,5.05765210141663e-103,11.2576205614667,52416.1589672613,31744.7585345664,36.949946266457,5.05765210141663e-103,0.000644759489371455,2395.78018159834,1553.755487183,5.05765210141663e-103,5.05765210141663e-103,5.05765210141663e-103,0.0223971295291152,5.05765210141663e-103
"Total",5.05057652101417e-101,5.05057652101417e-101,5.05057652101417e-101,5.05057652101417e-101,5.05057652101417e-101,1124.187131699,5234282.95369794,3170034.80874134,3689.82538387391,5.05057652101417e-101,0.0643857480392621,239242.852059801,155158.180626251,5.05057652101417e-101,5.05057652101417e-101,5.05057652101417e-101,2.23657962765328,5.05057652101417e-101
