year,district,districtID,stream,subdistrict,number
2000,Egegik,322,100,NRSHA,1345.213823
2000,Kvichak,324,100,NRSHA,49993.49993
2000,Naknek,324,600,NRSHA,909106.8072
2000,Ugashik,321,100,NRSHA,321.6866801
2000,Nushagak,325,300,WRSHA,1246055
2001,Nushagak,325,100,Igushik Set,198699
2001,Alagnak,324,500,Kvi Set,10057.7684
2001,Egegik,322,100,Kvi Set,534.2375283
2001,Kvichak,324,100,Kvi Set,30252.89372
2001,Naknek,324,600,Kvi Set,9244.192995
2001,Ugashik,321,100,Kvi Set,43.65332929
2001,Alagnak,324,500,NRSHA,109970.0956
2001,Egegik,322,100,NRSHA,3921.682939
2001,Kvichak,324,100,NRSHA,145745.3473
2001,Naknek,324,600,NRSHA,2650306.29
2001,Ugashik,321,100,NRSHA,937.8086545
2002,Nushagak,325,100,Igushik Set,22786
2002,Alagnak,324,500,NRSHA,52126.30843
2002,Egegik,322,100,NRSHA,1858.894942
2002,Kvichak,324,100,NRSHA,69083.93489
2002,Naknek,324,600,NRSHA,1256256.825
2002,Ugashik,321,100,NRSHA,444.5254222
2002,Nushagak,325,300,WRSHA,557744
2003,Nushagak,325,100,Igushik Set,132053
2003,Alagnak,324,500,NRSHA,115333.3559
2003,Egegik,322,100,NRSHA,4112.944085
2003,Kvichak,324,100,NRSHA,152853.3727
2003,Naknek,324,600,NRSHA,2779562.179
2003,Ugashik,321,100,NRSHA,983.5457424
2004,Nushagak,325,100,Igushik Set,74080
2004,Alagnak,324,500,Kvi Set,73678.11982
2004,Egegik,322,100,Kvi Set,3913.553687
2004,Kvichak,324,100,Kvi Set,221617.3845
2004,Naknek,324,600,Kvi Set,67718.27823
2004,Ugashik,321,100,Kvi Set,319.7821919
2004,Alagnak,324,500,NRSHA,38489.76511
2004,Egegik,322,100,NRSHA,1372.59729
2004,Kvichak,324,100,NRSHA,51011.17856
2004,Naknek,324,600,NRSHA,927612.7843
2004,Ugashik,321,100,NRSHA,328.2350046
2005,Alagnak,324,500,ARSHA,255926
2005,Nushagak,325,100,Igushik Set,130972
2005,Alagnak,324,500,Kvi Set,16030.44098
2005,Egegik,322,100,Kvi Set,851.4874098
2005,Kvichak,324,100,Kvi Set,48218.17402
2005,Naknek,324,600,Kvi Set,14733.73459
2005,Ugashik,321,100,Kvi Set,69.5762808
2005,Alagnak,324,500,NRSHA,168759.5827
2005,Egegik,322,100,NRSHA,6018.195881
2005,Kvichak,324,100,NRSHA,223660.1128
2005,Naknek,324,600,NRSHA,4067147.356
2005,Ugashik,321,100,NRSHA,1439.156676
2006,Alagnak,324,500,ARSHA,45975
2006,Nushagak,325,100,Igushik Set,178262
2006,Alagnak,324,500,Kvi Set,55988.32338
2006,Egegik,322,100,Kvi Set,15704.94847
2006,Kvichak,324,100,Kvi Set,80057.49917
2006,Naknek,324,600,Kvi Set,44149.56313
2006,Ugashik,321,100,Kvi Set,1050.783652
2006,Alagnak,324,500,NRSHA,88282.23964
2006,Egegik,322,100,NRSHA,3148.264545
2006,Kvichak,324,100,NRSHA,117002.0414
2006,Naknek,324,600,NRSHA,2127623.639
2006,Ugashik,321,100,NRSHA,752.8578375
2007,Alagnak,324,500,ARSHA,10419
2007,Nushagak,325,100,Igushik Set,241913
2007,Alagnak,324,500,Kvi Set,66369.94281
2007,Egegik,322,100,Kvi Set,3525.365944
2007,Kvichak,324,100,Kvi Set,199635.0229
2007,Naknek,324,600,Kvi Set,61001.26149
2007,Ugashik,321,100,Kvi Set,288.062804
2007,Alagnak,324,500,NRSHA,398846.617
2007,Egegik,322,100,NRSHA,74248.13623
2007,Kvichak,324,100,NRSHA,484681.5292
2007,Naknek,324,600,NRSHA,2989694.979
2007,Ugashik,321,100,NRSHA,231.5672658
2008,Nushagak,325,100,Igushik Set,335887
2008,Alagnak,324,500,Kvi Set,270561.0049
2008,Egegik,322,100,Kvi Set,118.8668904
2008,Kvichak,324,100,Kvi Set,345052.7289
2008,Naknek,324,600,Kvi Set,94045.34034
2008,Ugashik,321,100,Kvi Set,268.0948735
2009,Nushagak,325,100,Igushik Set,314479
2009,Alagnak,324,500,Kvi Set,80838.14843
2009,Egegik,322,100,Kvi Set,8310.199892
2009,Kvichak,324,100,Kvi Set,628456.3253
2009,Naknek,324,600,Kvi Set,26008.95039
2009,Ugashik,321,100,Kvi Set,255.3037346
2010,Nushagak,325,100,Igushik Set,399750
2010,Alagnak,324,500,Kvi Set,196248.5461
