"","list.dist","list.stock","list.mean","list.sd","list.cv","X2.5.","X25.","X50.","X75.","X97.5."
"Igushik","Nushagak","Igushik","0.554318489695652","0.308711280302688","0.556920409550447","0.15775385507","0.3989710687","0.5115358217","0.5916157782","1.29934251075"
"Wood","Nushagak","Wood","1.37867693698696","0.346067085716999","0.251013907923429","0.758936272215","1.247405818","1.362185346","1.5481831275","2.103200211"
"Nushagak","Nushagak","Nushagak","1.06700457378696","0.302731668089839","0.283721059428452","0.54388379923","0.9305160652","1.037538955","1.157726562","1.641361088"
