"","0.1","0.2","0.3","0.4","0.5","1.1","1.2","1.3","1.4","1.5","2.1","2.2","2.3","2.4","3.1","3.2","3.3","3.4"
"Return Year","0.1","0.2","0.3","0.4","0.5","1.1","1.2","1.3","1.4","1.5","2.1","2.2","2.3","2.4","3.1","3.2","3.3","3.4"
"1963","0","1.41751423537394e-08","39869.8037515951","1.24801752135747e-08","0","34662.9019428623","4.97704998202916e-07","311993.271078413","1.26013419591392e-08","0","1.26109200527051e-07","65871.6955931703","3.91415684377897e-08","0","0","0","0","0"
"1964","0","6980.33021072146","51365.8478159364","3.027314953495","0","6.75690486047293e-08","1.24579769110065e-07","1.42572418069264e-07","5.41973735932539e-09","0","0","169010.846296801","38994.8276753415","0","0","0","0","0"
"1965","0","11313.9376373916","51758.969050146","3589.19552440438","0","1451.00248237438","210435.634814627","213741.414127932","601.631835053041","0","0","47669.842108658","41624.7542104351","0","0","0","0","0"
"1966","0","2.12858520545382e-08","19633.7410940758","2.46844334672247e-08","0","0.000459733442382781","30.8085589248334","22240.4808150426","2224.92367394788","0","0","166547.305970813","188106.892863916","0","0","12800.6884543664","0","0"
"1967","0","13963.9895890665","40442.4877793856","10664.7888798476","0","1.20028433400669e-07","1.47336812787502e-07","2.193288634324e-07","2.21609672783912e-08","0","0","66347.7629188134","8209.96334671657","0","0","0","0","0"
"1968","0","2116.99596444676","9660.59500080926","38788.9232953817","0","2.69572176100366e-05","2.94087569903273e-05","4.96062425841608e-05","22924.7051085326","0","0","124685.099363518","20282.0346079133","0","0","0","0","0"
"1969","0","4968.43670143304","13934.202324427","1350.56420360344","0","669.868047131506","86140.1087622058","51330.1631088867","226.385665918363","0","7.62517406486189e-10","15074.1527658751","10697.6835430093","0","0","0","1.14480579293797e-09","0"
"1970","0","9147.92490703159","83442.9337882092","0","0","2290.05744378872","91353.3322463138","672473.511216871","0","0","2.62524719200348e-09","5088.87342001168","1962.88151105747","0","0","0","0","0"
"1971","0","2.5714299467464e-08","26639.7072198541","1060.56154503267","0","7.45608196401704e-08","118677.086274913","520070.546104353","3.4484031941831e-06","0","7843.40452592521","4.87039049382313e-08","1.43313366192182e-07","0","0","0","0","0"
"1972","0","0","1.31945606327401e-09","0","0","0","35190.1466128597","47473.7888034528","1.78107359213406e-09","0","0","4510.13586884221","1.25348326017719e-09","0","0","0","0","0"
"1973","0","2653.71836140932","97506.8810194013","7853.86379608574","0.000251830831347733","0","4814.98787861668","293844.575409648","4048.09057734382","0.000246029376275652","0","3.75632791667341e-09","6402.88877447561","8.20606497371859e-09","0","0","0","0"
"1974","0","1210.67305375856","3369.78261572173","5025.87323738225","0","3816.14181994693","127285.038822224","66889.0585368387","2760.40446788406","0","486.230509462073","36821.1287551858","4530.4813349625","0","0","0","0","0"
"1975","0","3598.43890147059","9601.37145104713","1.03634744445765e-08","0","0.00411505140000129","0.985516489448215","12168.9357351165","4045.32072590585","0","0.757645511168111","745792.847957961","278589.140411939","0","0","0","0","0"
"1976","0","4045.62272461216","75229.3131950221","0","0","0","71034.1837502203","807916.233670052","3442.495114493","0","0","28354.8229357604","93564.5785637221","0","0","0","0","0"
"1977","0","1111.57367406135","25301.7215071814","887.015611742288","0","0","0.00657508166448096","863254.686828519","2596.4900809137","0","0","46130.0749290615","157501.435867489","0","0","0","0","0"
"1978","0","15231.3336721392","3.2799491765069e-08","1815.77618917553","128.14740443789","33597.7301883004","4.7053893377783e-06","1231778.49619891","7.44600466825118e-06","0","2.27270790944936e-07","61562.1412000931","87718.0445293384","0","0","0","0","0"
"1979","0","6032.60467756801","16604.0741026542","1.21585361887587e-08","0","0","622880.05626241","69.6366241857652","12061.6407165784","0","0","347527.833855794","43018.8672895066","0","0","604.912084759761","0","0"
"1980","0","0","62380.8344123591","13547.7779884143","0","3.05972475377234e-09","190046.542386955","4934293.18419978","7.64943935123092e-09","0","3.82465594221543e-09","154757.080823384","34913.7490628905","0","0","0","0","0"
"1981","0","1.15880763941388e-08","16136.1622511056","9.75838012187993e-09","0","0","21273.9792365081","3422922.56150981","95362.8937858531","0","7963.62566408149","203259.642114185","108874.70253407","0","0","0","0","0"
"1982","0","72863.2049650124","345825.411301185","63770.3176394488","2595.98894958654","9.68270931008743e-10","89106.4176431423","3028330.45357446","57970.4165934087","0","0","2.90340655514435e-09","406715.382633708","0","0","0","0","0"
"1983","0","22436.2069590502","529083.819648471","133718.047727785","0","0","430996.667258683","933191.771299763","92537.4152047672","0","0","11883.0628468104","6076.61251557324","4.28498874291773e-08","0","4.04075740410298e-09","0","0"
"1984","0","30303.8835998973","523064.779439511","1.35704662828151e-07","0","0","19768.34400461","767683.427626758","4.54544744430436e-08","0","0","2.64660711400162e-09","3.74406882993933e-09","0","0","0","0","0"
"1985","0","82470.0296336754","101602.148820468","34504.4839765543","0","1194.6158651292","250006.004236372","312947.335906828","45525.5038700406","0","0","167393.190781693","5.61533459673433e-09","0","0","0","0","0"
"1986","8.90187842235939e-08","115054.711935882","420279.408315352","8931.03686106147","0","275.840543219469","125109.028118001","1576924.65664309","8819.91913053572","0","0","2611.8873910791","121331.438567855","0","0","0","0","0"
"1987","0","10147.1559370988","502453.47950264","34030.6013980189","0","1.55128756194565e-05","233673.059310938","594091.303099712","5804.33139481424","0","0","1.73804769461259e-07","4.61320123559136e-07","6.68644213363287e-09","0","0","0","0"
"1988","0","85590.5135228253","218564.409449476","111519.902338948","0","0","46770.5412210206","543194.450703628","71345.3274444259","0","0","5890.14117376119","6628.18566532267","572.75570291166","0","0","0","0"
