"","0.1","0.2","0.3","0.4","0.5","1.1","1.2","1.3","1.4","1.5","2.1","2.2","2.3","2.4","3.1","3.2","3.3","3.4"
"Catch",0,0,0,0,0,5211.993237,5270426.567,892659.2986,3.024288869e-09,0.01140718326,0,31356.83183,1.850139628e-08,0,0,0,0,0
"Escapement",5e-101,5e-101,5e-101,5e-101,5e-101,152660.1506,3710005.332,385856.8363,2.275456218e-09,3752.988296,5e-101,22072.97869,7.997329157e-09,5e-101,5e-101,5e-101,5e-101,5e-101
"Reallocated Esc Obs Error",0,0,0,0,0,-4.4389268728316,-107.876497620507,-11.2196291804771,-6.61638529711998e-14,-0.109126321054375,0,-0.641820002845078,-2.32539789697871e-13,0,0,0,0,0
"Igushik Set",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WRSHA",NA,0,0,0,0,0,406602.822591195,64686.812479955,1155.12164295,0,0,1155.12164295,1155.12164295,0,0,0,0,NA
"Offshore Catch",1.6780083722451e-102,1.6780083722451e-102,1.6780083722451e-102,1.6780083722451e-102,1.6780083722451e-102,5298.06661092626,315026.836714387,45077.7392939233,38.7660757568103,125.947636161891,1.6780083722451e-102,1831.85792377046,38.7660757575217,1.6780083722451e-102,1.6780083722451e-102,1.6780083722451e-102,1.6780083722451e-102,1.6780083722451e-102
"Total",5.16780083722451e-101,5.16780083722451e-101,5.16780083722451e-101,5.16780083722451e-101,5.16780083722451e-101,163165.771521053,9701953.68180796,1388269.4670447,1193.88771871211,3878.8382130241,5.16780083722451e-101,56416.1482667176,1193.88771873402,5.16780083722451e-101,5.16780083722451e-101,5.16780083722451e-101,5.16780083722451e-101,5.16780083722451e-101
