"","0.1","0.2","0.3","0.4","0.5","1.1","1.2","1.3","1.4","1.5","2.1","2.2","2.3","2.4","3.1","3.2","3.3","3.4"
"Catch",0,0,0,0,0,392.2526849,1985568.542,2932496.52,55938.97034,0,0,29261.66963,24403.46598,0,0,0,0,0
"Escapement",5e-101,5e-101,5e-101,5e-101,5e-101,11759.79386,1446542.016,1318105.614,43534.63497,5e-101,5e-101,21317.94178,10968.92879,5e-101,5e-101,5e-101,5e-101,5e-101
"Reallocated Esc Obs Error",0,0,0,0,0,0.326011229497731,40.1018033866007,36.541221478231,1.20689019257637,0,0,0.590987265090959,0.304086449501872,0,0,0,0,0
"Igushik Set",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"WRSHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Offshore Catch",1.75402992511135e-102,1.75402992511135e-102,1.75402992511135e-102,1.75402992511135e-102,1.75402992511135e-102,426.312502491061,120401.899295716,149114.948743483,3489.63594787939,1.75402992511135e-102,1.75402992511135e-102,1774.38377245984,1240.89544652329,1.75402992511135e-102,1.75402992511135e-102,1.75402992511135e-102,1.75402992511135e-102,1.75402992511135e-102
"Total",5.17540299251114e-101,5.17540299251114e-101,5.17540299251114e-101,5.17540299251114e-101,5.17540299251114e-101,12578.6850586206,3552552.5590991,4399753.62396496,102964.448148072,5.17540299251114e-101,5.17540299251114e-101,52354.5861697249,36613.5943029728,5.17540299251114e-101,5.17540299251114e-101,5.17540299251114e-101,5.17540299251114e-101,5.17540299251114e-101
