DistrictID,District,Year,Type,SumOfTotal
324,Naknek_Kvichak,2003,Catch,286515
324,Naknek_Kvichak,2004,Catch,3732497
324,Naknek_Kvichak,2005,Catch,1911840
324,Naknek_Kvichak,2006,Catch,4562198
324,Naknek_Kvichak,2007,Catch,4728453
324,Naknek_Kvichak,2008,Catch,9663078
324,Naknek_Kvichak,2009,Catch,7766953
324,Naknek_Kvichak,2010,Catch,9874251
324,Naknek_Kvichak,2011,Catch,8382249
325,Nushagak,1956,Catch,1303186
325,Nushagak,1957,Catch,441498
325,Nushagak,1958,Catch,1092156
325,Nushagak,1959,Catch,1719687
325,Nushagak,1960,Catch,1517988
325,Nushagak,1961,Catch,455003
325,Nushagak,1962,Catch,1446786
325,Nushagak,1963,Catch,822954
325,Nushagak,1964,Catch,1391790
325,Nushagak,1965,Catch,793323
325,Nushagak,1966,Catch,1170272
325,Nushagak,1967,Catch,657711
325,Nushagak,1968,Catch,749281
325,Nushagak,1969,Catch,773207
325,Nushagak,1970,Catch,1188534
325,Nushagak,1971,Catch,1256799
325,Nushagak,1972,Catch,355760
325,Nushagak,1973,Catch,259578
325,Nushagak,1974,Catch,489163
325,Nushagak,1975,Catch,572351
325,Nushagak,1976,Catch,1224380
325,Nushagak,1977,Catch,561380
325,Nushagak,1978,Catch,3025542
325,Nushagak,1979,Catch,3142475
325,Nushagak,1980,Catch,4351563
325,Nushagak,1981,Catch,7257071
325,Nushagak,1982,Catch,5753050
325,Nushagak,1983,Catch,4948486
325,Nushagak,1984,Catch,1957468
325,Nushagak,1985,Catch,1206454
325,Nushagak,1986,Catch,2565300
325,Nushagak,1987,Catch,3122334
325,Nushagak,1988,Catch,1654104
325,Nushagak,1989,Catch,2549298
325,Nushagak,1990,Catch,3223214
325,Nushagak,1991,Catch,4679068
325,Nushagak,1992,Catch,2789741
325,Nushagak,1993,Catch,5213780
325,Nushagak,1994,Catch,3150870
325,Nushagak,1995,Catch,3952963
325,Nushagak,1996,Catch,5365945
325,Nushagak,1997,Catch,2006947
325,Nushagak,1998,Catch,2696125
325,Nushagak,1999,Catch,3990413
325,Nushagak,2000,Catch,4873409
325,Nushagak,2001,Catch,4536101
325,Nushagak,2002,Catch,2259501
325,Nushagak,2003,Catch,6533865
325,Nushagak,2004,Catch,6219633
325,Nushagak,2005,Catch,6965059
325,Nushagak,2006,Catch,10698095
325,Nushagak,2007,Catch,8162198
325,Nushagak,2008,Catch,6567270
