"","0.1","0.2","0.3","0.4","0.5","1.1","1.2","1.3","1.4","1.5","2.1","2.2","2.3","2.4","3.1","3.2","3.3","3.4"
"Catch",0,0,0,0,0,25.33798140552,1223832.87102,964376.700223,0.0002167085653294,3.533120439565e-05,33.8637803069,6812.68119292,39649.63940064,1.634605730986e-05,0,0,1.187101374846e-07,0
"Escapement",5e-101,5e-101,5e-101,5e-101,5e-101,3855.779146,2867032.121,1438307.657,0.0002112132917,1.58598462e-05,5153.183114,15959.83918,59134.96243,1.593155565e-05,5e-101,5e-101,1.770487607e-07,5e-101
"Reallocated Esc Obs Error",0,0,0,0,0,8.13809395497827,6051.22230639734,3035.72440277494,4.45791511079838e-07,3.34741471486904e-08,10.8764238677444,33.6851945777304,124.811578161943,3.36254987276158e-08,0,0,3.73683085754501e-10,0
"Kvichak Set",NA,0,0,0,0,0,204777.061705838,184887.946196271,1646.30983731618,0,0,3970.16295699521,8638.34001541106,322.922319731805,0,0,0,NA
"ARSHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NRSHA",NA,0,0,0,0,58.541009000645,35210.1188143572,115501.074467315,233.95364543303,0,58.541009000645,4683.06548715942,11008.7456614352,222.49771194439,0,0,0,NA
"Naknek Set",NA,0,0,0,0,427.20056725,81801.2513145274,66639.056813061,0,0,0,8949.04584185721,12797.4780508034,0,0,0,265.992844713448,NA
"Offshore Catch",6.31391246723874e-103,6.31391246723874e-103,6.31391246723874e-103,6.31391246723874e-103,6.31391246723874e-103,55.2466936491331,55798.6287088849,35013.7783405401,23.7436435001996,6.46854330803872e-07,66.3777112978955,510.271209458479,1658.71502772647,6.88746908378482,6.31391246723874e-103,6.31391246723874e-103,3.35891108060458,6.31391246723874e-103
"Total",5.06313912467239e-101,5.06313912467239e-101,5.06313912467239e-101,5.06313912467239e-101,5.06313912467239e-101,4430.24349126028,4474503.27487,2807761.93744296,1904.00755461706,5.18713790736026e-05,5322.84203847319,40918.751062968,133012.692164178,552.307533071218,5.06313912467239e-101,5.06313912467239e-101,269.351756090185,5.06313912467239e-101
