,,,,,,,Nush,"709,432",,,Kvi Set,"1,228,066"," 1,013,688 "," 214,378.11 ",,,,Grand Total," 56,990,143 "," 57,036,936 "," (46,793)"
,,,,,,,Nak,"2,911,471",,,Nak Set,"1,638,141"," 1,621,214 "," 16,927.06 ",,,,,,,-0.08%
,,,,,,,Kvichak,"2,371,242",,,NRSHA,"98,380",98237.42001, 142.58 ,,,,,Source,,
,,,,,,,Alagnak,"820,459",,,Igushik Set,"421,348"," 415,591 "," 5,757.03 ",,,,,Togiak Offshore Allocation' -- (output),,
,,,,,,,Egegik,"2,340,210",,,WRSHA,"245,593"," 245,353 ", 240.05 ,,,,,offshoreCatchAdd' -- (input),,
,,,,,,,Ugashik,"1,547,747",,,total,"3,631,528","3,394,083"," 237,444.83 ",,,,,catchAdd' -- (input),,
,,,,,,,total,"13,029,910",,,,,,,,,,,inshore Togiak' -- (input),,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"55,046,888",,,,,,,,,,,
