"","0.1","0.2","0.3","0.4","0.5","1.1","1.2","1.3","1.4","1.5","2.1","2.2","2.3","2.4","3.1","3.2","3.3","3.4"
"Catch",5.3028095465e-08,7.872249493e-07,9.5722673928e-07,1.1689172877e-06,2.0136985582e-06,15039.657489,2807261.67,423813.54556,1.8359984966e-05,2.0136985582e-06,18741.6148679,1624797.6259,600990.3521,8.3408294186e-06,5.3028095465e-08,7.872249493e-07,9.5722673928e-07,1.1689172877e-06
"Escapement",9.469719045e-07,2.127750507e-07,4.277326073e-08,5.92005717e-194,9.864865565e-195,268577.1187,758760.5612,18937.92405,3.769097405e-195,9.864865565e-195,334686.4066,439158.3342,26854.99262,8.296605556e-195,9.469719045e-07,2.127750507e-07,4.277326073e-08,5.92005717e-194
"Reallocated Esc Obs Error",-7.57758732509699e-09,-1.70260756421454e-09,-3.42267935072932e-10,1.3516615348425e-09,8.11152823934179e-09,-2149.13088892415,-6071.5364241726,-151.539631317786,2.12303177690845e-08,8.11152823934179e-09,-2678.13169597581,-3514.10702959619,-214.89132971793,9.64480413921867e-09,-7.57758732509699e-09,-1.70260756421454e-09,-3.42267935072932e-10,1.3516615348425e-09
"Kvichak Set",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"ARSHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NRSHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Naknek Set",NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"Offshore Catch",5.45764983253755e-08,5.48995823477714e-08,5.49743917969455e-08,6.43568510088949e-08,1.11185835176036e-07,15478.8105112463,195773.131135793,24339.9927587665,1.01084210954533e-06,1.11185835176036e-07,19288.8638224547,113310.320193699,34515.4159681783,4.59219417688405e-07,5.45764983253755e-08,5.48995823477714e-08,5.49743917969455e-08,6.43568510088949e-08
"Total",1.04699891096528e-06,1.05319697478356e-06,1.05463212387187e-06,1.23462580024374e-06,2.13299592161538e-06,296946.455811322,3755723.82591162,466939.922737449,1.93920573933144e-05,2.13299592161538e-06,370038.753594379,2173752.1732641,662145.86935846,8.80969364042762e-06,1.04699891096528e-06,1.05319697478356e-06,1.05463212387187e-06,1.23462580024374e-06
