"","0.1","0.2","0.3","0.4","0.5","1.1","1.2","1.3","1.4","1.5","2.1","2.2","2.3","2.4","3.1","3.2","3.3","3.4"
"Catch",0,0,0,0,0,4021.70069823,9407668.83008,1950657.64996,0.115300689491,0,9167.7591439,1042854.62515,482977.255693,0,0,0,2257.26656663,0
"Escapement",5e-101,5e-101,5e-101,5e-101,5e-101,25400.02447,2032733.139,27695.04413,1.164641349e-198,5e-101,57901.2025,225331.6091,6857.213726,5e-101,5e-101,5e-101,32.04821573,5e-101
"Reallocated Esc Obs Error",0,0,0,0,0,-382.080295957965,-30577.4224844412,-416.603167802187,0.000129160078859077,0,-870.979814136616,-3389.55452625302,-103.149753018907,0,0,0,-0.482085825102695,0
"Kvichak Set",NA,0,0,0,0,0,4466.98686862248,2607.3843020029,9.83711146396,0,0,196.7788802161,49.19288750718,0,0,0,0,NA
"ARSHA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NRSHA",NA,0,0,0,0,0,378.777791044699,443.347481578932,0,0,0,38.7377553315753,21.5258773447935,0,0,0,0,NA
"Naknek Set",NA,0,0,0,0,0,1994.45056244422,1220.46256997202,7.528045016768,0,0,83.58737373192,36.433464759216,0,0,0,0,NA
"Offshore Catch",5.9203984561155e-103,5.9203984561155e-103,5.9203984561155e-103,5.9203984561155e-103,5.9203984561155e-103,343.852537335884,135182.408859707,23470.9139028949,0.206984072643778,5.9203984561155e-103,783.836858845787,14979.9790656407,5800.07786551328,5.9203984561155e-103,5.9203984561155e-103,5.9203984561155e-103,27.1016031257438,5.9203984561155e-103
"Total",5.05920398456116e-101,5.05920398456116e-101,5.05920398456116e-101,5.05920398456116e-101,5.05920398456116e-101,29383.4974096079,11551847.1706774,2005678.19917865,17.6875704029416,5.05920398456116e-101,66981.8186886092,1280095.76279867,495638.549761106,5.05920398456116e-101,5.05920398456116e-101,5.05920398456116e-101,2315.93429966064,5.05920398456116e-101
