group,Harvest_Stock,03,11,12,13,14,15,21,22,23,24,32,33
Togiak,696379.2988701833,2.9634217593271543e-13,552.116388154377,255145.18671419786,425794.7332813852,5779.750779907912,278.38422181170773,400.3223415022391,3014.6927067577476,4366.742969839954,382.0677850495033,6.333914952990932e-147,665.3016815767708
Igushik,1149532.8825759683,1.347437464353544e-302,1792.3149126868584,531368.5756293713,591141.1257878984,6645.733995225078,1046.0617091706272,1710.071530553087,5551.307489101849,6646.830251971264,1254.604559416994,1.347437464353544e-302,2376.2567105729977
Wood,14759013.357395504,1.2661393131032147e-68,3889.2547806945795,10444155.555511871,4158197.6564040994,34470.70838256833,602.4608236065963,2032.3885970698939,69982.85198760446,43386.45444616205,714.9673617563676,7.032670075994894e-40,1581.0591000702877
Nushagak,8687454.563037481,1.8512955240314897e-183,2022.654992410673,4231006.706024415,4313884.638756507,31050.303610133244,411.79944778530376,1145.7357427813788,53239.27405735465,53264.31639656742,483.0593057358092,5.185374369160616e-91,946.0747037913401
Kvichak,3228002.386436315,7.17490365992454e-302,1145.8312944025568,1865940.1290950137,1187361.7485526754,12810.53956212596,391.2371950710147,751.2360168752944,54714.05583413156,101908.64717227999,1537.7351712350032,3.771295773552832e-80,1441.226542504822
Alagnak,1338353.2289945344,2.972272673400026e-302,214.37217426508192,484952.33551266906,788518.819966506,2813.707724114401,87.33372357170245,122.35906502613896,9070.083588381294,52155.19758626916,251.53874846621588,2.972272673400026e-302,167.48090526530143
Naknek,4528877.694628513,7.74496104843681e-180,1001.7030004388395,1037442.5880983307,3049900.386765383,17049.50088190321,231.32399071542181,768.8655200666867,112825.65081000532,306871.46621416573,2381.2396984207494,7.518911231316893e-53,404.9696490840585
Egegik,3818418.5350881666,8.495636076813781e-302,7626.335443650078,898731.2438560195,1690574.3968339786,2203.0410013546684,100.22900386283952,143.72431180675585,296941.83575058647,915667.0969064266,142.2475719317439,5.1819050225345724e-279,6288.384408549459
Ugashik,3338083.0067818025,7.426722288971979e-302,2453.5024633201206,1629580.5250729208,1434235.667392424,1269.9548783206312,692.0899168527998,324.4699205461729,79171.29141122293,188267.5433453299,705.5665862564814,1.4023770134110216e-105,1382.39579460874
