group,Harvest_Stock,12,13,14,22,23,24,32,33
Togiak,556617.054361641,76898.31395766162,464059.60899784125,4308.369393648582,4377.658999981358,3076.775361713157,897.7195567035104,1076.0520545901902,908.6189620911938
Igushik,2100306.5459412728,1149714.3573051898,721549.0311139398,18671.16264568262,184729.6077150541,19215.78820290333,1637.513519798919,1824.005215718291,1411.4510740771955
Wood,6886199.324756432,2594345.8297349196,3414257.5076679434,51628.339229062345,781633.9685781648,31262.685962007792,3354.0395634632396,3318.7279561702712,3203.0837178480538
Nushagak,12516213.222633624,1634139.0740129836,9978727.873965958,31172.621930502948,532448.5108047954,329970.121810856,2405.961944865518,2457.4358859869535,2504.9605901438376
Kvichak,9755742.739034168,4313152.572147004,3150836.982750147,11111.030857344327,2185963.5472817514,74112.58538938338,4997.99418679613,6123.966511130375,4804.454311940659
Alagnak,2721788.755971348,309851.2426696213,2090480.6509769717,3215.702540532732,79020.23500200623,233034.1108130541,1456.4682882377317,1911.827702666366,1361.7495105381824
Naknek,5357177.085227203,1114807.6494009723,3502365.1943122884,14356.8899178196,459221.7556248373,255757.05540770723,2436.8450548434103,3360.177637490479,2471.8590630444987
Egegik,14623253.081035117,2448600.8707506508,3711085.0012450474,3641.2376432754204,7667688.958365783,784793.3297737865,1888.0866864328016,1911.9548067094508,1847.8884906814974
Ugashik,6650385.193561101,1357757.7015913206,4311541.266342101,5622.8099748143995,637747.7080529762,330099.30687488004,1781.9540492147319,1999.596255965965,1913.2118824511285
