group,Harvest_Stock,03,11,12,13,14,15,21,22,23,24,32,33
Togiak,362224.0334852965,1.6472180225268182e-163,1041.6193749617257,97883.21796520705,255562.47607189257,2751.8674593374317,2.017113545195561e-97,699.8764354502146,2483.2387063402625,1801.7374721072326,1.7024099426389127e-152,1.1128429472693603e-40,8.057992991667e-303
Igushik,1081113.3041600755,4.408344524233603e-146,1234.913530606696,488254.0368353735,581592.8782848319,1894.2065226435636,7.196782333933654e-36,383.041698567368,5346.28810080324,2407.9391872492597,1.7099495800160694e-302,1.1133155127440408e-15,1.7099495800160694e-302
Wood,6246458.713006036,1.300063111149434e-13,10827.292061345894,3646970.5255205226,2530113.134187062,12380.438220697955,7.164345503386209e-121,1220.2196223228061,23622.189507552986,21324.91388653246,5.696454343132228e-71,4.615348291490969e-38,1.7621875870169555e-111
Nushagak,2314734.018552955,5.006486595259615e-226,1757.2077970432217,1259115.005524898,1037491.279024556,4284.867605617102,5.109326463297558e-302,801.871623757343,7731.25467391804,3552.2157887786952,4.882803611558566e-105,3.111212145570388e-7,0.31651407521286007
Kvichak,5516674.555583396,2.2673801065995843e-42,1673.1129375723956,1145098.0066238358,4266964.907474748,2813.7081664002285,1.5762706291870426e-136,1637.6321879788904,84917.30077800289,13569.887414857982,2.9014524161947197e-32,1.188401018194215e-145,5.223980607531456e-18
Alagnak,2101971.563154743,4.673848377874152e-302,528.8028935124969,389953.4521259162,1686634.875598321,845.7846525963173,1.6531607336126113e-226,307.2916884842576,14908.906990532076,8792.44920538084,4.872270493901568e-96,3.699333551257695e-121,4.673848377874152e-302
Naknek,5785574.554611995,7.355524846641225e-54,4758.392609142167,808243.2453558972,4776859.664277237,1411.938469950737,2.5560142277641617e-86,940.3913587072327,118081.58480156604,75279.337739495,3.2747957927882894e-52,1.950805852463509e-185,2.999019280889932e-220
Egegik,13018235.167501904,2.8966208262827214e-301,5022.418787200488,1343468.5494280085,10374348.604094217,859.3597741343856,8.242872069409444e-6,19676.291776198443,1085493.6463362353,189366.2972976672,2.8966207765756626e-301,1.1094245812764898e-47,2.8966208262827214e-301
Ugashik,3104611.3885936122,6.907595707630044e-302,1065.4882208888896,1270501.9887992344,1420426.7620890138,2582.6659269860234,6.907595707630044e-302,1120.86418756623,380879.3710613803,28034.248308542818,1.2077562021127589e-301,6.907595707630044e-302,5.771636923407082e-225
